#  Ten plik powstaje przebiegiem: python3 -m harness.figury czoło
polecenie: python3 -m sonda.czoło Składnica-frazowa-180723/
korpus: Składnica-frazowa-180723
czyta: docs/subset.md#okolicznik-wyrażony-zdaniem-nie-jest-pozycją-ramy-i-dochodzi-do-zdania
ruszają:
  olski/subset.py: 4952559a6bce
  sonda/czoło.py: eaab353c565e

Składnica, morfologia złota: ile razy spójnik otwiera zdanie

   spójnik   na czele  wystąpień  lista
        że          5       1174  poza okolicznikiem
        bo         25        163  po zdaniu
       gdy         39         97  wysuwany
     jeśli         37         66  wysuwany
      choć         10         42  wysuwany
    jeżeli         21         39  wysuwany
  ponieważ          8         33  wysuwany
      gdyż          0         24  po zdaniu
    bowiem          0         21  poza okolicznikiem
        aż          3         15  po zdaniu
     skoro          4         14  wysuwany
     zanim          7         12  wysuwany
     kiedy          3         11  wysuwany
       nim          3          9  wysuwany
   chociaż          1          8  wysuwany
    dopóki          0          2  wysuwany
  albowiem          1          1  po zdaniu
      póki          0          1  wysuwany
